,门店Id,门店名称,时间,城市,充值金额,补贴金额,合计金额,订单金额,门店Id1
0,9026049,花语鲜花,8,资阳,900,0,900,12375,77
1,127544279,邂逅花坊鲜花店·婷雅花坊,8,马鞍山,600,250,850,11379,75
2,130648305,邂逅花坊鲜花(知音婚庆鲜花店),8,金华,2000,750,3750,13472,90
3,127546074,邂逅花坊鲜花(雪莲花艺),8,北京,400,200,600,7022,51
4,40598484,邂逅花坊（林東花鸟鱼）,8,鸡西,200,100,300,3820,25
5,503495836,邂逅花坊鲜花（良缘婚庆鲜花）,8,乐山,200,100,300,2139,14
6,126427126,花雨轩花艺,8,长春,200,100,300,5551,26
7,652302390,邂逅花坊鲜花（一花一匠）,8,资阳,200,100,300,197,2
8,1083323119,邂逅花坊鲜花（爱花鲜花）,8,开封,200,100,300,897,7
9,842180084,邂逅花坊鲜花（东方婚庆花艺）,8,六安,100,50,150,575,4
10,632466456,邂逅花坊鲜花（御花源）,8,厦门,200,100,300,3354,31
11,127649514,邂逅花坊鲜花(八姐鲜花店) ,8,常德,200,100,300,526,4
12,127755450,邂逅花坊鲜花(紫涵花兿) ,8,佛山,200,100,300,2085,22
13,110588856,邂逅花坊鲜花(爱尚店),8,防城港,100,50,150,2747,19
14,956765103,邂逅花坊鲜花（金喜缘鲜花）,8,宿迁,100,50,150,357,3
15,663153745,邂逅花坊鲜花（花草集）,8,桂林,100,50,150,388,3
16,1112369441,邂逅花坊鲜花（唯爱鲜花坊）,8,宿州,100,50,150,530,6
17,1703434818,邂逅花坊鲜花（窃窃花语鲜花）,8,呼和浩特,200,100,300,488,7
18,67764314,邂逅花坊鲜花（心语花苑）,8,镇江,200,100,300,597,4
19,1079687224,邂逅花坊鲜花(九月花舍),8,岳阳,100,50,150,1379,9
20,1071524090,邂逅花坊鲜花（朝花夕拾花艺店）,8,吉安,100,50,150,744,6
21,112179102,邂逅花坊鲜花(绮彩花果坊店),8,绵阳,100,0,100,696,4
